Max: 200038996 Min: 2
MaxVal: 200038996.228362 MinVal: 2.000144
--     *   -|--------    , 0.014987,  0.114569,  0.284377,  0.462471,  0.818589
----      * |  -----     , 0.030793,  0.175202,  0.422746,  0.593947,  0.815278

Max: 200038817 Min: 2
MaxVal: 200038817.751443 MinVal: 2.000269
-    *     -|------      , 0.006389,  0.069570,  0.204472,  0.446606,  0.783210
--    *   --|------      , 0.006692,  0.080671,  0.244387,  0.417802,  0.787727
---     *  -|---------   , 0.021816,  0.131074,  0.355611,  0.476332,  0.878376
-   *     --|--------    , 0.005495,  0.055625,  0.175054,  0.406862,  0.823261
----    *   | ---------  , 0.018779,  0.171529,  0.308010,  0.507328,  0.800891
--    *    -|----------  , 0.006641,  0.084089,  0.241138,  0.436140,  0.919547
---   *   --|---------   , 0.021046,  0.127278,  0.229288,  0.414648,  0.853637
--     *    |   -----    , 0.024026,  0.099045,  0.308768,  0.634382,  0.856608
    *     --|-------     , 0.008179,  0.034581,  0.154681,  0.412706,  0.766928
-    *      |----------  , 0.004050,  0.065034,  0.190750,  0.482529,  0.885625
-   *       |-------     , 0.000724,  0.039345,  0.151396,  0.468154,  0.719826
--   *     -|--------    , 0.001909,  0.081149,  0.214497,  0.452141,  0.829351
---    *    |  -------   , 0.015308,  0.119002,  0.312718,  0.602350,  0.887080
-    *      |-------     , 0.010170,  0.070814,  0.207153,  0.461610,  0.767702
--      *   |--------    , 0.013947,  0.099327,  0.306166,  0.480742,  0.775757
-  *     ---|-------     , 0.007898,  0.046111,  0.119711,  0.341777,  0.750909
-    *   ---|--------    , 0.010506,  0.069956,  0.223172,  0.386282,  0.851996
--     *    |--------    , 0.005965,  0.079262,  0.241962,  0.440310,  0.697567
-        *  |  -----     , 0.005859,  0.060251,  0.369452,  0.587189,  0.780071
--     *    |  ------    , 0.010814,  0.096483,  0.283573,  0.610862,  0.856910

Max: 200039669 Min: 2
MaxVal: 200039669.960255 MinVal: 2.003791
-    *     -|------      , 0.006428,  0.070277,  0.207067,  0.446606,  0.783210
--  *    ---|-----       , 0.006029,  0.086337,  0.173819,  0.377916,  0.727764
--         *|  -------   , 0.029416,  0.090758,  0.465381,  0.628664,  0.881795
-         * |  -----     , 0.004418,  0.045974,  0.416551,  0.606431,  0.784843
-       *   |  -----     , 0.004423,  0.073748,  0.316531,  0.595658,  0.792585
-     *     |---------   , 0.014013,  0.077451,  0.240143,  0.486323,  0.890112
-   *       | ---------  , 0.009496,  0.069405,  0.196892,  0.576857,  0.928757
--   *      |----------  , 0.020690,  0.114143,  0.228333,  0.504944,  0.929846
-----     * | -----      , 0.017734,  0.216878,  0.427322,  0.576348,  0.782576
--      *   |  ------    , 0.005535,  0.109629,  0.343284,  0.604850,  0.848341
--    *     | ---------  , 0.016171,  0.095568,  0.245139,  0.534865,  0.909454
-    *     -|-------     , 0.004585,  0.072190,  0.236263,  0.476907,  0.817370
----        *   -------- , 0.014177,  0.180395,  0.466006,  0.632317,  0.925010
